Intervalle:600 sec;;;;;;;;;;;
Tension:229.999 V;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Date/Heure:2018/25/04;10:00.0;20:00.0;;;;;;;;;
;;;;;;;;;;;
Date;Heure;'UL1_[V]';'UL2_[V]';'UL3_[V]';'IL1_[A]';'IL2_[A]';'IL3_[A]';'I_Neutral_[A]';;;
2018/25/04;10:00.0;236.033;235.278;236.153;2.753;3.162;3.155;1.892;;;
2018/25/04;20:00.0;236.267;235.599;236.451;1.5;3.726;3.72;3.054;;;
2018/25/04;30:00.0;236.287;236.128;237.098;2.197;4.273;4.435;2.785;;;
2018/25/04;40:00.0;235.78;235.912;236.92;1.902;3.769;4.074;2.706;;;
2018/25/04;50:00.0;235.968;235.679;236.853;1.699;3.48;3.544;2.683;;;
2018/25/04;00:00.0;236.55;236.037;237.402;2.323;4.376;4.428;2.738;;;
2018/25/04;10:00.0;236.073;236.017;236.974;1.968;3.651;3.723;2.707;;;
2018/25/04;20:00.0;236.268;236.038;236.976;2.313;4.084;4.133;2.686;;;
2018/25/04;30:00.0;235.794;236.368;237.199;2.485;4.778;4.931;6.706;;;
2018/25/04;40:00.0;235.679;236.125;237.616;1.793;4.93;5.001;6.3;;;
2018/25/04;50:00.0;235.951;236.244;237.255;2.755;4.292;4.245;6.175;;;
2018/25/04;00:00.0;235.966;236.101;237.389;3.886;3.86;3.69;6.807;;;
2018/25/04;10:00.0;237.42;236.645;238.316;2.572;4.06;4.031;4.224;;;
2018/25/04;20:00.0;237.146;236.97;238.414;2.292;3.593;3.763;2.506;;;
2018/25/04;30:00.0;237.674;236.398;238.108;1.229;2.295;2.396;2.461;;;
2018/25/04;40:00.0;234.841;233.51;235.795;1.209;1.482;1.328;2.439;;;
2018/25/04;50:00.0;235.444;233.546;236.138;1.027;1.924;1.669;2.343;;;
2018/25/04;00:00.0;235.342;234.33;236.174;2.308;3.59;3.4;2.249;;;
2018/25/04;10:00.0;234.928;234.05;235.739;1.114;2.38;2.178;2.322;;;
2018/25/04;20:00.0;234.777;233.571;235.23;1.135;1.455;1.322;2.215;;;
2018/25/04;30:00.0;234.345;233.736;234.079;4.97;2.804;9.263;10.586;;;
2018/25/04;40:00.0;236.802;236.037;236.68;3.326;2.688;8.78;9.631;;;
2018/25/04;50:00.0;236.144;235.484;237.257;1.542;1.847;1.617;2.674;;;
2018/25/04;00:00.0;236.571;235.835;237.578;1.83;3.539;3.373;2.564;;;
2018/25/04;10:00.0;237.152;235.877;237.727;2.103;3.736;3.836;2.556;;;
2018/25/04;20:00.0;237.03;235.797;237.293;1.123;1.554;1.379;2.275;;;
2018/25/04;30:00.0;237.105;236.213;237.512;1.061;2.068;1.832;2.266;;;
2018/25/04;40:00.0;237.427;236.969;237.771;1.945;3.745;3.474;2.334;;;
2018/25/04;50:00.0;237.592;237;237.941;2.018;3.579;3.409;2.682;;;
2018/25/04;00:00.0;237.282;236.725;237.747;1.663;2.61;2.434;2.854;;;
2018/25/04;10:00.0;237.197;236.286;237.33;1.728;3.29;2.96;2.351;;;
2018/25/04;20:00.0;237.597;236.449;237.434;2.091;3.739;3.409;2.449;;;
2018/25/04;30:00.0;237.449;237.063;237.906;2.135;3.974;4.113;2.74;;;
2018/25/04;40:00.0;237.802;237.05;237.796;1.33;2.742;2.797;2.793;;;
2018/25/04;50:00.0;237.789;236.775;237.566;1.351;2.277;2.326;2.725;;;
2018/25/04;00:00.0;238.136;236.885;237.503;1.09;2.797;2.991;2.687;;;
2018/25/04;10:00.0;236.411;235.15;235.874;1.186;2.964;3.066;2.727;;;
2018/25/04;20:00.0;235.845;234.667;235.324;1.157;2.655;2.732;2.489;;;
2018/25/04;30:00.0;235.393;234.848;235.128;1.13;1.506;1.385;2.37;;;
2018/25/04;40:00.0;236.178;235.706;236.125;1.514;2.912;2.729;2.299;;;
2018/25/04;50:00.0;236.603;235.748;236.488;1.344;2.442;2.464;2.261;;;
2018/25/04;00:00.0;236.511;235.494;236.341;1.203;1.436;1.333;2.346;;;
2018/25/04;10:00.0;237.382;236.183;236.925;1.17;1.688;1.519;2.375;;;
2018/25/04;20:00.0;237.555;236.659;237.06;1.31;1.766;1.6;2.405;;;
